Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/-74,625,79,75,115,5.51,0.000%,.12860,0.23,0.05,1856.0
/static/css/main.91169c33.chunk.css-76,625,39,37,66,2.84,0.000%,.12860,0.08,0.05,667.0
/static/js/main.e989115e.chunk.js-78,625,48,40,274,16.43,0.000%,.12860,1.59,0.04,12641.0
/static/css/2.b26b6ae6.chunk.css-75,625,86,80,251,10.64,0.000%,.12860,6.46,0.05,51420.0
/static/js/2.7c253607.chunk.js-77,625,177,132,861,73.64,0.000%,.12860,53.27,0.04,424151.0
/logo192.png-79,625,40,39,57,1.87,0.000%,.12861,2.19,0.05,17437.0
/ws/bank.wsdl-80,625,76,74,96,1.67,0.000%,.12861,0.06,0.05,509.0
UC03_TR01_OpenMainPage,95,533,496,842,58.88,0.000%,.01965,9.76,0.05,508681.0
UC07_TR01_OpenMainPage,135,532,490,870,53.90,0.000%,.02798,13.90,0.07,508681.0
UC08_TR01_OpenMainPage,27,571,493,938,117.53,0.000%,.00577,2.87,0.02,508681.0
UC04_TR01_OpenMainPage,68,603,497,1523,145.49,0.000%,.01409,7.00,0.04,508681.0
/login-81,623,38,37,73,2.20,0.000%,.12888,0.07,0.06,550.0
UC02_TR01_OpenMainPage,95,528,493,750,47.84,0.000%,.01965,9.76,0.05,508681.0
UC01_TR01_OpenMainPage,135,524,489,798,48.13,0.000%,.02798,13.90,0.07,508681.0
UC05_TR01_OpenMainPage,68,604,501,1562,146.61,0.000%,.01409,7.00,0.04,508681.0
/login-82,623,130,116,196,6.45,0.000%,.12887,0.57,0.06,4517.9
/ws/bank.wsdl-89,623,82,77,113,4.66,0.000%,.12888,2.26,0.08,17920.0
UC03_TR02_Login,95,252,239,282,8.79,0.000%,.01965,0.40,0.03,20865.4
UC07_TR02_Login,135,249,237,278,7.09,0.000%,.02799,0.57,0.04,20902.1
UC08_TR02_Login,27,251,240,280,9.50,0.000%,.00577,0.12,0.01,20896.6
UC04_TR02_Login,68,250,240,308,11.01,0.000%,.01410,0.29,0.02,20891.3
UC05_TR02_Login,68,251,238,283,9.26,0.000%,.01410,0.29,0.02,20893.6
UC01_TR02_Login,135,250,239,303,8.17,0.000%,.02799,0.75,0.04,27623.8
UC02_TR02_Login,95,251,240,318,9.67,0.000%,.01965,0.48,0.03,25080.7
SR223 Sampler,95,0,0,7,0.82,0.000%,.01965,0.00,0.00,.0
/user-96,135,37,37,46,1.23,0.000%,.02799,0.02,0.01,565.0
/car-27,95,37,37,42,0.71,0.000%,.01965,0.01,0.01,565.0
/user-97,135,42,39,89,5.30,0.000%,.02799,0.02,0.02,568.0
UC01_TR03_AddUser,135,80,76,128,5.46,0.000%,.02799,0.03,0.03,1133.0
/car-28,95,43,39,67,4.11,0.000%,.01965,0.01,0.01,558.0
UC02_TR03_AddNewCar,95,81,77,107,4.33,0.000%,.01965,0.02,0.02,1123.0
JDBC Request ,325,205,39,613,139.21,0.000%,.06723,0.12,0.00,1769.9
UC3_TR03_User_Get,95,241,40,612,128.46,0.000%,.01965,0.00,0.00,8.9
/user/10711/money/234234234-52,95,37,37,39,0.59,0.000%,.01965,0.01,0.01,551.0
JDBC Request House,162,195,47,632,143.30,0.000%,.03358,0.00,0.00,25.5
UC07_TR03_Generate,135,167,47,623,138.64,0.000%,.02799,0.00,0.00,25.5
UC08_TR03_Generate,27,335,314,632,58.44,0.000%,.00577,0.00,0.00,25.5
/user/10711/money/234234234-53,95,43,40,78,4.42,0.000%,.01965,0.01,0.01,578.7
UC03_TR04_Add_Mon,95,81,77,116,4.53,0.000%,.01965,0.02,0.02,1129.7
/house/2780/evict/95-241,27,37,37,39,0.51,0.000%,.00577,0.00,0.00,551.0
/house/2732/settle/3-216,135,37,37,45,0.85,0.000%,.02799,0.02,0.01,551.0
JDBC Request Car,136,329,316,634,36.91,0.000%,.02819,0.00,0.00,26.4
UC04_TR03_Generate,68,330,316,634,37.48,0.000%,.01410,0.00,0.00,26.3
UC05_TR03_Generate,68,329,317,624,36.33,0.000%,.01410,0.00,0.00,26.4
/user/10716/buyCar/2558-71,68,37,37,39,0.54,0.000%,.01410,0.01,0.01,551.0
/house/2780/evict/95-242,27,45,42,56,4.05,0.000%,.00577,0.00,0.00,682.7
UC08_TR04_EvictHouse,27,83,79,94,4.10,0.000%,.00577,0.01,0.01,1233.7
/house/2732/settle/3-217,135,52,42,116,10.09,0.000%,.02799,0.02,0.02,819.4
UC07_TR04_SettleHouse,135,90,80,153,10.18,0.000%,.02799,0.04,0.03,1370.4
/user/10711/sellCar/2558-91,68,45,40,55,3.54,0.000%,.01410,0.01,0.01,578.1
/ws/bank.wsdl-104,623,70,41,98,17.51,0.000%,.12888,2.26,0.08,17920.0
/user/10716/buyCar/2558-72,68,48,41,70,4.35,0.000%,.01410,0.01,0.01,577.0
UC04_TR04_BuyCar,68,86,79,108,4.39,0.000%,.01410,0.02,0.02,1128.0
/user/10711/sellCar/2558-90,68,37,37,39,0.52,0.000%,.01410,0.01,0.01,551.0
UC05_TR04_SellCar,68,83,77,94,3.64,0.000%,.01410,0.02,0.02,1129.1
/ws/bank.wsdl-111,623,37,36,50,1.30,0.000%,.12889,0.06,0.05,509.0
UC03_TR05_Exit,95,110,78,136,17.16,0.000%,.01965,0.35,0.02,18429.0
UC03_Add_Money,95,1219,953,1739,146.57,0.000%,.01965,10.54,0.13,549113.9
UC01_TR04_Cheak,135,155,39,612,138.28,0.000%,.02799,0.08,0.00,2973.1
UC02_TR04_Cheak,95,240,40,613,128.98,0.000%,.01965,0.03,0.00,1821.0
UC08_TR05_Exit,27,118,115,134,4.18,0.000%,.00577,0.10,0.01,18429.0
UC08_User_evic,27,1360,1257,1779,142.60,0.000%,.00577,3.09,0.04,549265.7
UC07_TR05_Exit,135,100,78,132,19.09,0.000%,.02799,0.50,0.03,18429.0
UC07_User_check_in,135,1140,956,1760,167.32,0.000%,.02798,15.01,0.18,549408.1
UC04_TR05_Exit,68,119,114,136,3.94,0.000%,.01410,0.25,0.01,18429.0
UC04_Buy_Car,68,1390,1280,2287,153.06,0.000%,.01409,7.56,0.09,549155.6
UC05_TR05_Exit,68,119,114,128,3.64,0.000%,.01410,0.25,0.01,18429.0
UC05_Sell_Car,68,1387,1275,2327,155.47,0.000%,.01409,7.56,0.09,549159.1
UC01_TR04_Exit,135,100,78,135,19.11,0.000%,.02799,0.50,0.03,18429.0
UC01_Add_User,135,1111,937,1851,167.55,0.000%,.02798,15.27,0.18,558839.9
UC02_TR05_Exit,95,111,78,129,16.63,0.000%,.01965,0.35,0.02,18429.0
UC02_Add_NewCar,95,1213,942,1871,154.37,0.000%,.01965,10.65,0.13,555134.7
TOTAL,13192,173,0,2327,268.33,0.000%,2.71419,207.58,2.49,78313.8
